dataset_id,reference,species,notes,model,loglikelihood,ks_distance,diameter_min [mm],diameter_max [mm],functional_group2,t_ru0 [MPa],beta_t,shape,scale [MPa],sdlog,sigma_t0 [MPa],beta_sigmat,width [MPa]
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,logistic,-739.4977251442368,0.11271627620675005,0.293706294,19.02097902,Broadleaves,44.36442932306173,-0.5888407628501344,NA,19.512708575579435,NA,NA,NA,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,lognormal,-695.0656478130645,0.0697038342716213,0.293706294,19.02097902,Broadleaves,66.04769609122208,-0.7743562881574048,NA,NA,0.7685728202809732,NA,NA,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,normal_force,-892.5089033416698,0.23081701279725386,0.293706294,19.02097902,Broadleaves,82.15252430440533,-0.877512649573097,NA,NA,NA,663.2131860062706,-2,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,normal_scaled,-807.1162032948963,0.19240013560843527,0.293706294,19.02097902,Broadleaves,45.69577448860168,-0.5053459867211999,NA,NA,NA,48.705598161351865,-0.5053459867211999,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,normal_strength,-808.8144814569697,0.19110058521276407,0.293706294,19.02097902,Broadleaves,48.85621426892673,-0.5221737232260378,NA,NA,NA,23.96509252050696,0,NA
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,uniform,-976.334955591499,0.7634652841223118,0.293706294,19.02097902,Broadleaves,434.5174962690969,-0.845509291804469,NA,NA,NA,NA,NA,854.1257919750865
3,Abernethy & Rutherford (2001),Melaleuca ericifolia & Eucalyptus camaldulensis,NA,weibull,-713.4600031809875,0.0913012304237415,0.293706294,19.02097902,Broadleaves,56.43501210871762,-0.6517292684317042,1.2296121101595432,NA,NA,NA,NA,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,gamma,-145.93678312024332,0.09744137009194354,0.119645495,6.310192024,Broadleaves,23.68430352744736,-0.4475268180999644,7.015313681328754,NA,NA,NA,NA,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,gumbel,-146.80115403872944,0.1175403821231028,0.119645495,6.310192024,Broadleaves,23.825814031352802,-0.43562025225733686,NA,7.591729987978099,NA,NA,NA,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,logistic,-147.38765767658847,0.08592525998426881,0.119645495,6.310192024,Broadleaves,23.609426650274287,-0.45976706053435806,NA,5.070324555229347,NA,NA,NA,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,lognormal,-146.935654327247,0.1291159994808858,0.119645495,6.310192024,Broadleaves,23.74501912312205,-0.43263656605407447,NA,NA,0.3959214491788146,NA,NA,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,normal_force,-190.12537310219645,0.30053037665063576,0.119645495,6.310192024,Broadleaves,31.855154617633115,-0.6919968685281839,NA,NA,NA,32.82572621050609,-2,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,normal_scaled,-146.05976532274255,0.0846151114481618,0.119645495,6.310192024,Broadleaves,23.80383293674764,-0.4720824944060911,NA,NA,NA,8.577674747576056,-0.4720824944060911,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,normal_strength,-161.19574375706156,0.1299728987684436,0.119645495,6.310192024,Broadleaves,23.2507592519776,-0.4875334290151556,NA,NA,NA,11.235241107211571,0,NA
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,uniform,-141.33019183643475,0.11078478931477176,0.119645495,6.310192024,Broadleaves,24.5812033766773,-0.48659941030936976,NA,NA,NA,NA,NA,31.762142268641014
4,Bischetti et al. (2009),Ostrya carpinifolia,NA,weibull,-145.32809660075665,0.08491678410698289,0.119645495,6.310192024,Broadleaves,23.866942435082816,-0.47302852580410193,3.075945973119906,NA,NA,NA,NA,NA
5,Bischetti et al. (2009),Castanea sativa,NA,gamma,-276.32029037700676,0.08747709824371508,0.0423,6.008862629,Broadleaves,20.639571971173396,-0.613122467565012,3.9863342262156967,NA,NA,NA,NA,NA
5,Bischetti et al. (2009),Castanea sativa,NA,gumbel,-277.28687005457664,0.08992872027804305,0.0423,6.008862629,Broadleaves,20.541935515401754,-0.6073333781537017,NA,8.072072465764895,NA,NA,NA,NA
5,Bischetti et al. (2009),Castanea sativa,NA,logistic,-283.8328556493317,0.11287050228212958,0.0423,6.008862629,Broadleaves,19.751076607449612,-0.6299342291665266,NA,5.98366239095276,NA,NA,NA,NA
5,Bischetti et al. (2009),Castanea sativa,NA,lognormal,-277.21174027974394,0.07485815297295961,0.0423,6.008862629,Broadleaves,20.895267022973083,-0.5834507810755007,NA,NA,0.5284800650409825,NA,NA,NA
5,Bischetti et al. (2009),Castanea sativa,NA,normal_force,-315.2106435046175,0.19831392627575606,0.0423,6.008862629,Broadleaves,14.065063269636248,-0.006118115352502613,NA,NA,NA,13.704417029800105,-2,NA
5,Bischetti et al. (2009),Castanea sativa,NA,normal_scaled,-281.7801220430675,0.13676373143879178,0.0423,6.008862629,Broadleaves,20.592803462274052,-0.6360125969995216,NA,NA,NA,10.155369107892815,-0.6360125969995216,NA
5,Bischetti et al. (2009),Castanea sativa,NA,normal_strength,-313.76415434798645,0.18095469949493959,0.0423,6.008862629,Broadleaves,21.46192817751042,-0.667139547862988,NA,NA,NA,16.7956110731532,0,NA
5,Bischetti et al. (2009),Castanea sativa,NA,uniform,-279.17569244429853,0.1875156657451662,0.0423,6.008862629,Broadleaves,23.90377016744971,-0.6390276400376692,NA,NA,NA,NA,NA,40.504374622830674
5,Bischetti et al. (2009),Castanea sativa,NA,weibull,-277.17327419196107,0.10692976294949197,0.0423,6.008862629,Broadleaves,20.688101614995706,-0.6300547301342044,2.174455410345918,NA,NA,NA,NA,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,gamma,-61.38365672057057,0.10385347372793474,0.828515112,2.298948752,Grasses,6.3558151161517795,-1.5431264432093141,8.989762569130718,NA,NA,NA,NA,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,gumbel,-61.1977964986857,0.11128158575470715,0.828515112,2.298948752,Grasses,6.383565284533326,-1.564442257139055,NA,1.7229045748188303,NA,NA,NA,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,logistic,-64.72383703458273,0.11238165346730478,0.828515112,2.298948752,Grasses,6.090518337819622,-1.5010980313040885,NA,1.2532368432184717,NA,NA,NA,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,lognormal,-61.03404074480227,0.10523661904278492,0.828515112,2.298948752,Grasses,6.400921250105957,-1.5612100402828406,NA,NA,0.33680261401996053,NA,NA,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,normal_force,-64.16432277831369,0.1316602534136318,0.828515112,2.298948752,Grasses,6.432081411070691,-1.5719662547984052,NA,NA,NA,2.6107486467292267,-2,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,normal_scaled,-63.54978917387915,0.1315633550220332,0.828515112,2.298948752,Grasses,6.292437724093343,-1.5171916586765628,NA,NA,NA,2.132540512327494,-1.5171916586765628,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,normal_strength,-66.34118885349193,0.12337226273346913,0.828515112,2.298948752,Grasses,6.137154347490951,-1.42249246308528,NA,NA,NA,1.2707295547980066,0,NA
6,Boldrin et al. (2021),Festuca arundinacea,NA,uniform,-60.090501834735626,0.22511383266398272,0.828515112,2.298948752,Grasses,8.685808203507158,-2.0318290657036355,NA,NA,NA,NA,NA,9.865613388799762
6,Boldrin et al. (2021),Festuca arundinacea,NA,weibull,-63.02376542176536,0.11891806698085394,0.828515112,2.298948752,Grasses,6.314963909844626,-1.5215392505566305,3.181650968089107,NA,NA,NA,NA,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,gamma,-101.40312746837708,0.08699693029941546,0.451060348,1.270026525,Grasses,5.144463939932424,-2.1421100784655107,7.014522375561066,NA,NA,NA,NA,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,gumbel,-101.53848307459396,0.10317753798593177,0.451060348,1.270026525,Grasses,5.091704074510872,-2.173784013005633,NA,1.5570628836884166,NA,NA,NA,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,logistic,-104.53637202685594,0.09264236465700315,0.451060348,1.270026525,Grasses,5.0892947333755805,-2.073704643366531,NA,1.158771293348318,NA,NA,NA,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,lognormal,-101.22164432577966,0.10039826504275018,0.451060348,1.270026525,Grasses,5.092168968307478,-2.1904506914824426,NA,NA,0.38488907587314,NA,NA,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,normal_force,-103.62869650366162,0.10785281432368227,0.451060348,1.270026525,Grasses,5.139530809715717,-2.146047072309944,NA,NA,NA,2.0210019260867864,-2,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,normal_scaled,-103.73060210711112,0.10206030615972483,0.451060348,1.270026525,Grasses,5.216216237751281,-2.0833934340589524,NA,NA,NA,1.9869866278660318,-2.0833934340589524,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,normal_strength,-110.38763436078628,0.09153014302202822,0.451060348,1.270026525,Grasses,4.691987247669685,-2.364263724444257,NA,NA,NA,3.8219177514331633,0,NA
7,Boldrin et al. (2021),Lolium multiflorum,NA,uniform,-99.14652521646015,0.27850971551127496,0.451060348,1.270026525,Grasses,5.91034589258512,-2.3058274887121595,NA,NA,NA,NA,NA,6.951000780954452
7,Boldrin et al. (2021),Lolium multiflorum,NA,weibull,-102.69398697932778,0.09117354634896546,0.451060348,1.270026525,Grasses,5.218347976471926,-2.092239501154957,2.828993396767045,NA,NA,NA,NA,NA
8,Boldrin et al. (2021),Lolium perenne,NA,gamma,-91.56456878946449,0.07254217978265809,0.550627615,1.089539749,Grasses,5.895580165634389,-1.1838071647162105,9.75345341614213,NA,NA,NA,NA,NA
8,Boldrin et al. (2021),Lolium perenne,NA,gumbel,-92.62895020917901,0.0891966492944275,0.550627615,1.089539749,Grasses,5.93411889173006,-1.2053188138680921,NA,1.6560305971345748,NA,NA,NA,NA
8,Boldrin et al. (2021),Lolium perenne,NA,logistic,-92.2566308990308,0.09809770297247289,0.550627615,1.089539749,Grasses,5.9924502457664115,-1.0767881254025002,NA,1.0801585431734295,NA,NA,NA,NA
8,Boldrin et al. (2021),Lolium perenne,NA,lognormal,-92.53458858626499,0.08930607089524834,0.550627615,1.089539749,Grasses,5.8580936377893975,-1.2273294230534064,NA,NA,0.33370978498707626,NA,NA,NA
8,Boldrin et al. (2021),Lolium perenne,NA,normal_force,-92.36163371137532,0.10728202466424236,0.550627615,1.089539749,Grasses,5.92059668208195,-1.1630751932491357,NA,NA,NA,1.5437389770888967,-2,NA
8,Boldrin et al. (2021),Lolium perenne,NA,normal_scaled,-91.47079931803187,0.10826199763092664,0.550627615,1.089539749,Grasses,5.928257483841579,-1.1595918087051547,NA,NA,NA,1.8285173319684656,-1.1595918087051547,NA
8,Boldrin et al. (2021),Lolium perenne,NA,normal_strength,-92.45204499504626,0.10050571753772736,0.550627615,1.089539749,Grasses,5.899148297029993,-1.1822407515050306,NA,NA,NA,2.4408896699297356,0,NA
8,Boldrin et al. (2021),Lolium perenne,NA,uniform,-88.23702069217501,0.11090626752855665,0.550627615,1.089539749,Grasses,5.367910831921767,-1.6882255156382342,NA,NA,NA,NA,NA,6.178643764994799
8,Boldrin et al. (2021),Lolium perenne,NA,weibull,-91.26871634259655,0.10123378123439519,0.550627615,1.089539749,Grasses,5.893631063072178,-1.1890303610192519,3.571121447626923,NA,NA,NA,NA,NA
9,Comino et al. (2010),Festuca pratensis,NA,gamma,-203.45469776465814,0.11604497409996617,0.09950495,0.66039604,Grasses,2.650836197879368,-2.0149168557364443,11.45003049916363,NA,NA,NA,NA,NA
9,Comino et al. (2010),Festuca pratensis,NA,gumbel,-203.03354436520925,0.09218954210037766,0.09950495,0.66039604,Grasses,2.6024816744183954,-2.026538703912692,NA,0.6323899514922554,NA,NA,NA,NA
9,Comino et al. (2010),Festuca pratensis,NA,logistic,-205.85601443021034,0.10906867756481975,0.09950495,0.66039604,Grasses,2.547500328758724,-2.021553256134073,NA,0.4420945067621361,NA,NA,NA,NA
9,Comino et al. (2010),Festuca pratensis,NA,lognormal,-203.02981447713213,0.10092698245239529,0.09950495,0.66039604,Grasses,2.609998947975627,-2.024356604124507,NA,NA,0.2971007594815999,NA,NA,NA
9,Comino et al. (2010),Festuca pratensis,NA,normal_force,-206.03672657481795,0.1576128038708714,0.09950495,0.66039604,Grasses,2.656871388614202,-2.0135223952697325,NA,NA,NA,0.8240882997106929,-2,NA
9,Comino et al. (2010),Festuca pratensis,NA,normal_scaled,-206.04570596756406,0.14370750681527966,0.09950495,0.66039604,Grasses,2.753638774541797,-1.9915756550544736,NA,NA,NA,0.8356230427094445,-1.9915756550544736,NA
9,Comino et al. (2010),Festuca pratensis,NA,normal_strength,-231.25013851800378,0.15952972554726674,0.09950495,0.66039604,Grasses,3.206825135657816,-1.9121513827907508,NA,NA,NA,36.900990411257155,0,NA
9,Comino et al. (2010),Festuca pratensis,NA,uniform,-204.13424070114024,0.2039924531016548,0.09950495,0.66039604,Grasses,3.5552230246307284,-1.8739797450237703,NA,NA,NA,NA,NA,4.011287233098727
9,Comino et al. (2010),Festuca pratensis,NA,weibull,-206.38129652312128,0.144257592404182,0.09950495,0.66039604,Grasses,2.8038495288887337,-1.9799167866582985,3.453169545148855,NA,NA,NA,NA,NA
10,Comino et al. (2010),Lotus corniculatus,NA,gamma,-150.85922765195642,0.10584328809516785,0.338098543,1.278556558,Forbs,3.894874498164929,-1.350716138349323,5.424804498166945,NA,NA,NA,NA,NA
10,Comino et al. (2010),Lotus corniculatus,NA,gumbel,-152.0344579480663,0.10794514897198881,0.338098543,1.278556558,Forbs,3.9159926244690286,-1.3611773240000677,NA,1.3904169247796645,NA,NA,NA,NA
10,Comino et al. (2010),Lotus corniculatus,NA,logistic,-153.02924191051648,0.07834250025178147,0.338098543,1.278556558,Forbs,3.971853421298815,-1.2541424527194514,NA,0.9488928082028771,NA,NA,NA,NA
10,Comino et al. (2010),Lotus corniculatus,NA,lognormal,-152.87805918691305,0.1131158054016207,0.338098543,1.278556558,Forbs,3.860390800803386,-1.4141690468586,NA,NA,0.45625444365466555,NA,NA,NA
10,Comino et al. (2010),Lotus corniculatus,NA,normal_force,-154.42229887079657,0.07175620550683226,0.338098543,1.278556558,Forbs,3.9199868841264034,-1.3226412542150348,NA,NA,NA,1.3757173349264207,-2,NA
10,Comino et al. (2010),Lotus corniculatus,NA,normal_scaled,-151.73876036488937,0.06863635876631868,0.338098543,1.278556558,Forbs,3.96806549914639,-1.2855539542145644,NA,NA,NA,1.6183886575511728,-1.2855539542145644,NA
10,Comino et al. (2010),Lotus corniculatus,NA,normal_strength,-154.04384760983353,0.06926221469632898,0.338098543,1.278556558,Forbs,3.8612756619034334,-1.3700683811925385,NA,NA,NA,2.4114382926575537,0,NA
10,Comino et al. (2010),Lotus corniculatus,NA,uniform,-152.7620583955892,0.23456090754047765,0.338098543,1.278556558,Forbs,4.258568247300005,-1.6235257192646593,NA,NA,NA,NA,NA,6.1709025866227325
10,Comino et al. (2010),Lotus corniculatus,NA,weibull,-150.09434314121,0.07417288370844155,0.338098543,1.278556558,Forbs,3.9551011475831213,-1.303480398067873,2.6616219379874466,NA,NA,NA,NA,NA
11,Comino et al. (2010),Medicago sativa,NA,gamma,-238.46696345722336,0.07294991380847682,0.124390244,1.427874564,Forbs,17.754971875287307,-1.4557677251000636,5.067919519988791,NA,NA,NA,NA,NA
11,Comino et al. (2010),Medicago sativa,NA,gumbel,-237.84772377895058,0.06424626572160264,0.124390244,1.427874564,Forbs,17.040576329007887,-1.4953510918149346,NA,5.821373428673203,NA,NA,NA,NA
11,Comino et al. (2010),Medicago sativa,NA,logistic,-243.318116696463,0.09012128389520171,0.124390244,1.427874564,Forbs,17.002075886940023,-1.4376053203624601,NA,4.497253953882302,NA,NA,NA,NA
11,Comino et al. (2010),Medicago sativa,NA,lognormal,-236.8879190414176,0.051648508333251186,0.124390244,1.427874564,Forbs,16.72934031385972,-1.5321119408531307,NA,NA,0.4455455410245734,NA,NA,NA
11,Comino et al. (2010),Medicago sativa,NA,normal_force,-261.126250374949,0.11265775466047567,0.124390244,1.427874564,Forbs,20.31734362170617,-1.1452637977975997,NA,NA,NA,7.52532445377713,-2,NA
11,Comino et al. (2010),Medicago sativa,NA,normal_scaled,-245.206843609134,0.1109775316092102,0.124390244,1.427874564,Forbs,19.19289095066119,-1.3542831641160442,NA,NA,NA,9.014814469892038,-1.3542831641160442,NA
11,Comino et al. (2010),Medicago sativa,NA,normal_strength,-269.0038151332963,0.21060615762074442,0.124390244,1.427874564,Forbs,20.885565549907422,-1.3753796799489888,NA,NA,NA,38.729638070963276,0,NA
11,Comino et al. (2010),Medicago sativa,NA,uniform,-248.06487975829816,0.3293845445206488,0.124390244,1.427874564,Forbs,27.254160088768337,-1.2780188197757965,NA,NA,NA,NA,NA,41.618236041764774
11,Comino et al. (2010),Medicago sativa,NA,weibull,-241.67561185237588,0.0901614533451226,0.124390244,1.427874564,Forbs,18.918495694255963,-1.376696339403112,2.2537168707650324,NA,NA,NA,NA,NA
12,Comino et al. (2010),Trifolium pratense,NA,gamma,-182.81482193506247,0.07626453000282352,0.270627465,1.661508338,Forbs,13.945974144103815,-0.7379161228574381,5.012526517003855,NA,NA,NA,NA,NA
12,Comino et al. (2010),Trifolium pratense,NA,gumbel,-183.28381699859324,0.08909294940232626,0.270627465,1.661508338,Forbs,13.863494047178701,-0.7546814836461488,NA,4.988606163218312,NA,NA,NA,NA
12,Comino et al. (2010),Trifolium pratense,NA,logistic,-185.9976716011263,0.08382161406790828,0.270627465,1.661508338,Forbs,13.450522391972793,-0.7516530735848291,NA,3.4599083992679804,NA,NA,NA,NA
12,Comino et al. (2010),Trifolium pratense,NA,lognormal,-183.56221191630607,0.09848845930763572,0.270627465,1.661508338,Forbs,13.977940189700462,-0.7474422284109272,NA,NA,0.46839944165346953,NA,NA,NA
12,Comino et al. (2010),Trifolium pratense,NA,normal_force,-201.91376156213147,0.14352952931673935,0.270627465,1.661508338,Forbs,12.720842274875531,-1.0847522713017606,NA,NA,NA,4.7093464850669156,-2,NA
12,Comino et al. (2010),Trifolium pratense,NA,normal_scaled,-185.92752805550663,0.11112682084596903,0.270627465,1.661508338,Forbs,14.236649691852097,-0.693162075582271,NA,NA,NA,6.294354642326109,-0.693162075582271,NA
12,Comino et al. (2010),Trifolium pratense,NA,normal_strength,-189.11235204821878,0.08302086307677592,0.270627465,1.661508338,Forbs,14.397122782181242,-0.6789237172235706,NA,NA,NA,9.187441229437814,0,NA
12,Comino et al. (2010),Trifolium pratense,NA,uniform,-188.62216003938636,0.31246957970293016,0.270627465,1.661508338,Forbs,18.25940897042754,-0.683356381025352,NA,NA,NA,NA,NA,27.519504983373743
12,Comino et al. (2010),Trifolium pratense,NA,weibull,-183.71351188035072,0.08373912346388973,0.270627465,1.661508338,Forbs,14.230789041718792,-0.6991990350499918,2.4176082005924138,NA,NA,NA,NA,NA
14,Genet et al. (2005),Castanea sativa,NA,gamma,-173.2910332550253,0.06663831759765926,0.490599821,6.709326072,Broadleaves,30.487507883479115,-0.4419876390306085,9.372596638221662,NA,NA,NA,NA,NA
14,Genet et al. (2005),Castanea sativa,NA,gumbel,-173.09171128021472,0.07063049713096481,0.490599821,6.709326072,Broadleaves,30.561439066382043,-0.44700003764947654,NA,8.199696448756091,NA,NA,NA,NA
14,Genet et al. (2005),Castanea sativa,NA,logistic,-175.89114102914192,0.07349313225380816,0.490599821,6.709326072,Broadleaves,29.735504950195423,-0.44675624910291944,NA,5.691533836172724,NA,NA,NA,NA
14,Genet et al. (2005),Castanea sativa,NA,lognormal,-172.99034889234508,0.06380241350843385,0.490599821,6.709326072,Broadleaves,30.522277590431294,-0.4445354005735773,NA,NA,0.3304625851399487,NA,NA,NA
14,Genet et al. (2005),Castanea sativa,NA,normal_force,-209.69702991573044,0.34370374361894007,0.490599821,6.709326072,Broadleaves,14.88509944311499,0.1951861120970329,NA,NA,NA,33.564829062008215,-2,NA
14,Genet et al. (2005),Castanea sativa,NA,normal_scaled,-176.31631144601565,0.11259420311572299,0.490599821,6.709326072,Broadleaves,30.440409671006535,-0.4372378672333877,NA,NA,NA,10.19693102002125,-0.4372378672333877,NA
14,Genet et al. (2005),Castanea sativa,NA,normal_strength,-179.008693265046,0.08425445028940992,0.490599821,6.709326072,Broadleaves,31.01803047372035,-0.5634208683184554,NA,NA,NA,9.33994258361683,0,NA
14,Genet et al. (2005),Castanea sativa,NA,uniform,-185.2408332387763,0.3488554203212089,0.490599821,6.709326072,Broadleaves,38.526665549115776,-0.35604132861345056,NA,NA,NA,NA,NA,49.23734503217215
14,Genet et al. (2005),Castanea sativa,NA,weibull,-176.17634305422055,0.10313002545177274,0.490599821,6.709326072,Broadleaves,30.409482940589587,-0.4371605399146761,3.1169670143551413,NA,NA,NA,NA,NA
15,Genet et al. (2005),Picea abies,NA,gamma,-99.3560433521645,0.07135992210147535,0.395507148,5.999319265,Conifers,42.8083524270144,-0.6259775678724117,5.484843128376953,NA,NA,NA,NA,NA
15,Genet et al. (2005),Picea abies,NA,gumbel,-99.66532346898119,0.0697908725144396,0.395507148,5.999319265,Conifers,42.3793305359986,-0.5934404020363797,NA,14.79350777347366,NA,NA,NA,NA
15,Genet et al. (2005),Picea abies,NA,logistic,-100.34332471162995,0.09571340970964126,0.395507148,5.999319265,Conifers,42.965173016878985,-0.6630335602653198,NA,10.350349117925019,NA,NA,NA,NA
15,Genet et al. (2005),Picea abies,NA,lognormal,-99.80663390402049,0.10518990924527544,0.395507148,5.999319265,Conifers,41.74010917944348,-0.5566570085494893,NA,NA,0.4481397111882973,NA,NA,NA
15,Genet et al. (2005),Picea abies,NA,normal_force,-108.78974359920565,0.11965876906689155,0.395507148,5.999319265,Conifers,33.678594868387876,-0.35386655666408295,NA,NA,NA,46.95028807536772,-2,NA
15,Genet et al. (2005),Picea abies,NA,normal_scaled,-99.76127450123835,0.08312193983214355,0.395507148,5.999319265,Conifers,44.214975582434015,-0.6934136338128027,NA,NA,NA,17.979780015596713,-0.6934136338128027,NA
15,Genet et al. (2005),Picea abies,NA,normal_strength,-108.79008666326139,0.17951679852094826,0.395507148,5.999319265,Conifers,41.233136169389454,-1.091761430835686,NA,NA,NA,18.7776049430042,0,NA
15,Genet et al. (2005),Picea abies,NA,uniform,-95.94099765176166,0.12881757322132192,0.395507148,5.999319265,Conifers,47.66224366292376,-0.7378246527006881,NA,NA,NA,NA,NA,65.08702553470201
15,Genet et al. (2005),Picea abies,NA,weibull,-99.15805688682808,0.08409346406131013,0.395507148,5.999319265,Conifers,44.18338527764411,-0.687859568685123,2.6770109304051952,NA,NA,NA,NA,NA
